nb_sommets,mesure,taille_composante,lg moyenne
0,betweeness centrality,1.0,5.905479113824605
1,betweeness centrality,0.46308724832214765,1.870381669039387
2,betweeness centrality,0.42424242424242425,1.1814541814541815
3,betweeness centrality,0.20945945945945946,0.4985799358680715
4,betweeness centrality,0.18305084745762712,0.374818401937046
5,betweeness centrality,0.14965986394557823,0.29258665923707367
6,betweeness centrality,0.14334470989761092,0.22588713824863246
7,betweeness centrality,0.10273972602739725,0.17095043073012287
8,betweeness centrality,0.09965635738831616,0.14494608365920134
9,betweeness centrality,0.09310344827586207,0.13652308793700035
10,betweeness centrality,0.08650519031141868,0.12240484429065744
11,betweeness centrality,0.0798611111111111,0.10876403406891212
12,betweeness centrality,0.07665505226480836,0.09670816987890159
13,betweeness centrality,0.07692307692307693,0.08646791804686542
14,betweeness centrality,0.07719298245614035,0.07533975784531752
15,betweeness centrality,0.07394366197183098,0.07945553177723585
16,betweeness centrality,0.06713780918727916,0.0673633561386362
17,betweeness centrality,0.0673758865248227,0.060775851190025494
18,betweeness centrality,0.060498220640569395,0.055210981189628874
19,betweeness centrality,0.04642857142857143,0.05117767537122376
20,betweeness centrality,0.04659498207885305,0.0469559836002166
21,betweeness centrality,0.046762589928057555,0.04459392774588993
22,betweeness centrality,0.04693140794223827,0.04167320671794067
23,betweeness centrality,0.043478260869565216,0.03997364953886693
24,betweeness centrality,0.04363636363636364,0.03808891838088918
25,betweeness centrality,0.043795620437956206,0.03612202882275875
26,betweeness centrality,0.04395604395604396,0.033586511527688
27,betweeness centrality,0.04044117647058824,0.030659865422183633
28,betweeness centrality,0.04059040590405904,0.028536285362853627
29,betweeness centrality,0.040740740740740744,0.025994768002202948
30,betweeness centrality,0.040892193308550186,0.024330022748709983
31,betweeness centrality,0.041044776119402986,0.02297501257756163
32,betweeness centrality,0.04119850187265917,0.021429979442989498
33,betweeness centrality,0.041353383458646614,0.02011632855724216
34,betweeness centrality,0.04150943396226415,0.018810748999428244
35,betweeness centrality,0.03787878787878788,0.018867381034681417
36,betweeness centrality,0.030418250950570342,0.01634110237134647
37,betweeness centrality,0.026717557251908396,0.015208680646953876
38,betweeness centrality,0.02681992337164751,0.01444149720011789
39,betweeness centrality,0.026923076923076925,0.013216513216513216
40,betweeness centrality,0.02702702702702703,0.012510849720152045
41,betweeness centrality,0.023255813953488372,0.01161282538533466
42,betweeness centrality,0.023346303501945526,0.010943579766536964
43,betweeness centrality,0.0234375,0.01053921568627451
44,betweeness centrality,0.023529411764705882,0.010189902732746642
45,betweeness centrality,0.023622047244094488,0.009803616445177554
46,betweeness centrality,0.023715415019762844,0.009410878976096368
47,betweeness centrality,0.023809523809523808,0.00910643141718839
48,betweeness centrality,0.0199203187250996,0.009083665338645418
49,betweeness centrality,0.02,0.008610441767068273
50,betweeness centrality,0.020080321285140562,0.008356004663816556
51,betweeness centrality,0.020161290322580645,0.008097165991902834
52,betweeness centrality,0.020242914979757085,0.007768012902801093
53,betweeness centrality,0.016260162601626018,0.00743321718931475
54,betweeness centrality,0.0163265306122449,0.007259953161592506
55,betweeness centrality,0.01639344262295082,0.0070161235917155776
56,betweeness centrality,0.01646090534979424,0.00676801686902697
57,betweeness centrality,0.01652892561983471,0.006584136346490175
58,betweeness centrality,0.016597510373443983,0.006396957123098202
59,betweeness centrality,0.016666666666666666,0.006136680613668061
60,betweeness centrality,0.016736401673640166,0.005871804788861151
61,betweeness centrality,0.01680672268907563,0.005673155338084601
62,betweeness centrality,0.016877637130801686,0.00547092898519631
63,betweeness centrality,0.01694915254237288,0.0053732419761990625
64,betweeness centrality,0.01702127659574468,0.005273686124749955
65,betweeness centrality,0.017094017094017096,0.005172224056344228
66,betweeness centrality,0.017167381974248927,0.005068817522569187
67,betweeness centrality,0.017241379310344827,0.004963427377220481
68,betweeness centrality,0.017316017316017316,0.004856013551665725
69,betweeness centrality,0.017391304347826087,0.004746535029428517
70,betweeness centrality,0.017467248908296942,0.0046349498199647595
71,betweeness centrality,0.017543859649122806,0.004521214931602133
72,betweeness centrality,0.01762114537444934,0.004405286343612335
73,betweeness centrality,0.017699115044247787,0.0042871189773844645
74,betweeness centrality,0.017777777777777778,0.004166666666666667
75,betweeness centrality,0.017857142857142856,0.004043882126841768
76,betweeness centrality,0.017937219730941704,0.003918716923201228
77,betweeness centrality,0.018018018018018018,0.0037911214381802618
78,betweeness centrality,0.01809954751131222,0.003661044837515426
79,betweeness centrality,0.01818181818181818,0.0035284350352843504
80,betweeness centrality,0.0182648401826484,0.0033932386577855975
81,betweeness centrality,0.01834862385321101,0.0032554010062148565
82,betweeness centrality,0.018433179723502304,0.0031575354155999316
83,betweeness centrality,0.018518518518518517,0.0030146425495262705
84,betweeness centrality,0.013953488372093023,0.0029124103455770486
85,betweeness centrality,0.014018691588785047,0.0027642490456759247
86,betweeness centrality,0.014084507042253521,0.0027460359642129508
87,betweeness centrality,0.014150943396226415,0.0027720647411249217
88,betweeness centrality,0.014218009478672985,0.002798465357707064
89,betweeness centrality,0.014285714285714285,0.00277967646388699
90,betweeness centrality,0.014354066985645933,0.0027143908722856093
91,betweeness centrality,0.014423076923076924,0.0027406168710516535
92,betweeness centrality,0.014492753623188406,0.002673420571267764
93,betweeness centrality,0.014563106796116505,0.0026995027231825714
94,betweeness centrality,0.014634146341463415,0.00272596843615495
95,betweeness centrality,0.014705882352941176,0.002704530087897228
96,betweeness centrality,0.014778325123152709,0.0027313076135199728
97,betweeness centrality,0.01485148514851485,0.002758484803704251
98,betweeness centrality,0.014925373134328358,0.0027860696517412937
99,betweeness centrality,0.015,0.002814070351758794
